INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - Field	Freq.
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - http://purl.org/ontology/bibo/issn	3
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 370a1.a	3
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 121-1.p	3
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 121-1.d	3
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 002b1.a	3
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 580-1.a	3
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 116b1.p	3
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 108e1.p	2
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 518b1.a	2
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - http://purl.org/ontology/bibo/oclcnum	2
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 655e1.z	2
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 073-2.a	2
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 108e1.d	2
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 904a1.a	2
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 518b1.p	2
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 108e1.b	2
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 025a2.a	2
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - http://purl.org/lobid/lv#titleKeyword	2
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 070a2.a	2
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 508-1.a	2
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 511-1.p	2
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 902-2.g	2
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 016-1.a	2
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 078b1.a	2
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 511-1.a	2
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 957-1.g	2
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 518a1.p	2
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 205-1.h	2
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 200b2.k	2
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 200b2.b	2
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 527z2.9	2
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 209-1.h	2
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 209-1.b	2
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 104e1.p	2
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 359-2.a	2
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 418-2.h	2
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 104e1.b	2
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 104e1.d	2
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 523-1.p	2
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 800-1.d	2
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 020a2.b	2
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 020a2.a	2
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 527z1.9	2
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - http://umbel.org/umbel#isLike	2
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - http://purl.org/ontology/bibo/editor	2
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 108a1.p	2
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 124b1.p	2
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 527z1.p	2
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 527z2.p	2
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 518a1.a	2
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 527z1.a	2
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 527z2.a	2
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 531z2.9	2
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 517-1.a	2
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 531z2.a	2
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 673a1.a	2
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 120b1.p	2
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 100b2.p	2
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 532z2.p	2
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 553a1.a	2
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 204b1.k	2
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 952-2.h	2
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 532z2.a	2
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 902-1.z	2
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 531z2.p	2
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 116b1.d	2
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 532z2.9	2
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 517-1.p	2
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 201-1.b	2
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 405-2.a	2
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 020b1.a	2
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 144b1.p	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 542z1.b	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 100-1.c	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 505-1.p	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 112e1.b	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 403-2.a	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 112e1.d	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 100-1.n	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 078o1.a	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 610-1.a	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 204b1.h	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 655e1.m	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 073-1.a	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - http://rdvocab.info/Elements/longitudeAndLatitude	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 078i1.a	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 020-1.a	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 020-1.b	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 904a2.a	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 505-1.a	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 406a1.j	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 022-1.a	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 120b1.d	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 140b1.p	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 902-2.z	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 531z1.a	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 016-1.b	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 530-1.a	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 425c2.a	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 508-1.p	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 116e1.d	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 144b1.c	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 531z1.9	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 116e1.b	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 025-1.a	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 530-1.p	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 700l2.a	1
